BEIGE,F5F5DC,245,245,220,60,0.56,0.91
GRAY,808080,128,128,128,0,0,0.5
BLUE,0000FF,0,0,255,240,0.1,0.5
AQUA,7FFFD4,127,255,212,160,0.1,0.75
BROWN,A52A2A,165,42,42,0,0.59,0.41
GREEN,008000,0,128,0,120,0.1,0.25
ORANGE,FFA500,255,0,0,39,0.1,0.5
PURPLE,800080,128,0,128,300,0.1,0.25
RED,FF0000,255,0,0,0,0.1,0.5
VIOLET,EE82EE,238,130,238,300,0.76,0.72
WHITE,FFFFFF,255,255,255,0,0,0.1
YELLOW,FFFF00,255,255,0,60,0.1,0.5
BLACK,000000,0,0,0,0,0,0
